Eritrean:Eritrean,-0.204123,0.10798467,-0.033186667,-0.088394333,0.002975,-0.040811,-0.015353667,0.00015366667,0.101512,-0.061778,-0.0018403333,-0.010840333,0.019871,0.001468,0.021896333,-0.004685,0.007432,-8.4666667E-05,0.0077933333,0.0025843333,0.0047836667,0.0074193333,-0.001972,-0.00036133333,-0.0031533333
Beja:Beja*(Beni-Amer),-0.17853979,0.10808143,-0.039974643,-0.089424857,-0.001165,-0.041076643,-0.017978429,0.0015824286,0.0970465,-0.053525357,0.0011251429,-0.011315,0.023541357,-0.0019661429,0.016994071,-0.001127,0.0075714286,-0.0024070714,0.0015621429,0.0035105714,0.0079414286,0.0048401429,-0.0043135714,0.0013599286,-0.0024034286
Beja:Beja*(Hadendowa),-0.20992229,0.11011243,-0.034264143,-0.086194857,-0.0043964286,-0.035419143,-0.024273143,0.0040877143,0.094840571,-0.056389286,0.0017398571,-0.0089278571,0.018922429,-0.00094385714,0.016228143,-0.009395,0.0016017143,-0.0076374286,-0.00089771429,0.0053061429,0.0019252857,0.003727,-0.0010388571,1.7142857E-05,-0.001129
Ethiopian:Afar*(Ethiopia),-0.22119633,0.10155267,-0.032935,-0.079996333,-0.00082066667,-0.034861333,-0.017547667,0.001,0.10648867,-0.062081667,-0.0015156667,-0.010590667,0.02002,-0.0010093333,0.024113,-0.012684333,0.0097353333,-0.001436,0.007123,0.00058333333,0.005199,0.0090676667,-0.0018896667,0.0061453333,-0.0035523333
Ethiopian:Amhara*(Ethiopia),-0.225939,0.10629211,-0.035512167,-0.082813611,0.000718,-0.038936167,-0.0142315,-0.001064,0.10392078,-0.063468889,-0.0014525556,-0.013238167,0.017608056,0.0010857222,0.022589889,-0.0128095,0.0076926667,0.0021255556,0.0060753889,0.0024317222,0.0041801111,0.006691,-0.0030948889,0.0037353333,-0.0019691111
Ethiopian:Agaw*(Ethiopia),-0.2248005,0.105615,-0.032998,-0.0860795,0.002462,-0.0428095,-0.0117505,-0.0043845,0.1035915,-0.0659695,-0.0017865,-0.01109,0.017468,0,0.0216475,-0.0145185,0.010561,0.0009505,0.006536,0.002626,0.0026825,0.0040805,-0.0048685,0.0044585,-0.0079635
Ethiopian:Oromo*(Ethiopia),-0.27632229,0.095519471,-0.029992059,-0.071231,0.0021360588,-0.033696529,-0.0082114118,-0.0052804118,0.10442747,-0.071190059,-0.0057122353,-0.010296706,0.010345059,-0.00017005882,0.021811059,-0.014265059,0.015492765,0.0049931176,0.0072018235,7.3588235E-05,0.0028772941,0.0062263529,-0.0036902353,0.0029556471,-0.0023387059
Somali:Somali*(Ethiopia),-0.306184,0.094444,-0.029038,-0.062985,-0.002154,-0.036814,-0.013396,0.001154,0.121283,-0.082188,-0.004872,-0.006594,0.000149,-0.002615,0.02348,-0.017767,0.012647,0.002787,0.012947,-0.004627,-0.000873,0,-0.004437,-0.00494,0.008742
Somali:Somali*(Somalia),-0.29697473,0.093521091,-0.026741364,-0.069797364,0.00036381818,-0.033973909,-0.021022818,0.0062094545,0.11566745,-0.080167364,-0.0091379091,-0.0066077273,0.005149,-0.0013137273,0.025096,-0.017911636,0.015717091,-0.0024531818,0.0094500909,-0.0042291818,0.00096436364,0.0045975455,-0.002902,-0.00098590909,-0.0020138182
Somali:Somali*(Kenya),-0.31570391,0.092321091,-0.026261364,-0.068769636,0.00053163636,-0.032731636,-0.016386727,0.0047410909,0.11377127,-0.079454909,-0.0070416364,-0.0058720909,0.0030544545,-0.0011633636,0.024059455,-0.017923636,0.016321727,-0.00063345455,0.011221545,-0.0020464545,0.00066936364,0.0059128182,-0.0031932727,-0.00076672727,0.00011972727
